Country/Organization Name,Code
ALGERIA,ALG
ARAB SATELLITE COMMUNICATIONS ORGANIZATION,AB
ARGENTINA,ARGN
ASIA SATELLITE TELECOMMUNICATIONS COMPANY (ASIASAT),AC
AUSTRALIA,AUS
AZERBAIJAN,AZER
BELARUS,BELA
BHUTAN,BT
BOLIVIA,BOL
BRAZIL,BRAZ
BULGARIA,BGR
CANADA,CA
CHILE,CHLE
CHINA/BRAZIL,CHBZ
COMMONWEALTH OF INDEPENDENT STATES (FORMER USSR),CIS
COSTA RICA,CRI
CZECH REPUBLIC (FORMER CZECHOSLOVAKIA),CZCH
CZECHIA,CZ
DENMARK,DEN
ECUADOR,ECU
EGYPT,EGYP
ESTONIA,EST
EUROPEAN ORGANISATION FOR THE EXPLOITATION OF METEOROLOGICAL SATELLITES,EUME
EUROPEAN SPACE AGENCY,ESA
EUROPEAN TELECOMMUNICATIONS SATELLITE ORGANIZATION,EUTE
FRANCE,FR
FRANCE/GERMANY,FGER
FRANCE/ITALY,FRIT
GERMANY,GER
GLOBALSTAR,GLOB
GREECE,GREC
INDIA,IND
INDONESIA,INDO
INTERNATIONAL MOBILE SATELLITE ORGANIZATION (INMARSAT),IM
INTERNATIONAL SPACE STATION,ISS
INTERNATIONAL TELECOMMUNICATIONS SATELLITE ORGANIZATION,ITSO
IRAN,IRAN
IRAQ,IRAK
ISRAEL,ISRA
ITALY,IT
JAPAN,JPN
KAZAKHSTAN,KAZ
KENYA,KEN
LAOS,LAOS
LATVIA,LTV
LITHUANIA,LTU
LUXEMBOURG,LUXE
MALAYSIA,MALA
MEXICO,MEX
MOROCCO,MA
NETHERLANDS,NETH
NEW ICO,NICO
NIGERIA,NIG
NORTH ATLANTIC TREATY ORGANIZATION,NATO
NORTH KOREA,NKOR
NORWAY,NOR
O3B NETWORKS,O3B
ORBCOMM,ORB
PAKISTAN,PAKI
PEOPLE'S REPUBLIC OF CHINA,PRC
PERU,PER
PHILIPPINES (REPUBLIC OF THE PHILIPPINES),RP
POLAND,POL
PORTUGAL,POR
REGIONAL AFRICAN SATELLITE COMMUNICATIONS ORGANIZATION,RASC
SAUDI ARABIA,SAUD
SEA LAUNCH,SEAL
SINGAPORE,SING
SINGAPORE/TAIWAN,STCT
SLOVAKIA,SK
SOCIETE EUROPEENNE DES SATELLITES,SES
SOUTH AFRICA,SAFR
SOUTH KOREA,SKOR
SPAIN,SPN
SWEDEN,SWED
TAIWAN (REPUBLIC OF CHINA),ROC
THAILAND,THAI
TURKEY,TURK
TURKMENISTAN/MONACO,TMMC
UNITED ARAB EMIRATES,UAE
UNITED KINGDOM,UK
UNITED STATES,US
UNITED STATES/BRAZIL,USBZ
URUGUAY,URY
VENEZUELA,VENZ
VIETNAM,VTNM
