satname, satId, intl_code, launchDate, period, category
SL-4 R/B, 42800, 2017-037C, June 23 2017, 92.2, BRIGHTEST
USA 276, 42689, 2017-022A, May 1 2017, 92.5, BRIGHTEST
TK-1, 42061, 2017-012A, March 2 2017, 92.1, BRIGHTEST
CZ-2D R/B, 41902, 2016-081E, December 21 2016, 92.1, BRIGHTEST
SHENZHOU-11 MODULE, 41868, 2016-061G, October 16 2016, 91.3, BRIGHTEST
TIANGONG-2, 41765, 2016-057A, September 15 2016, 92.3, BRIGHTEST
PSLV R/B, 41470, 2016-027B, April 28 2016, 362.4, BRIGHTEST
GPM, 39574, 2014-009C, February 27 2014, 92.6, BRIGHTEST
KOMPSAT 5, 39227, 2013-042A, August 22 2013, 95.7, BRIGHTEST
CZ-4C R/B, 39211, 2013-037D, July 19 2013, 95.7, BRIGHTEST
PSLV R/B, 39200, 2013-034B, July 1 2013, 348.6, BRIGHTEST
ATLAS CENTAUR R/B, 38770, 2012-048N, September 13 2012, 96.2, BRIGHTEST
H-2A R/B, 33500, 2009-002J, January 23 2009, 96.8, BRIGHTEST
SAR LUPE 2, 31797, 2007-030A, July 2 2007, 94.3, BRIGHTEST
CZ-4 R/B, 29507, 2006-046C, October 23 2006, 96, BRIGHTEST
CZ-4B R/B, 29093, 2006-015B, April 26 2006, 93.3, BRIGHTEST
USA 186, 28888, 2005-042A, October 19 2005, 91.6, BRIGHTEST
TITAN 4B R/B, 28647, 2005-016B, April 30 2005, 95.6, BRIGHTEST
BREEZE-M DEB (TANK), 28116, 2003-056E, December 10 2003, 328.5, BRIGHTEST
IDEFIX/ARIANE 42P, 27422, 2002-021B, May 4 2002, 100.8, BRIGHTEST
IDEFIX/ARIANE 42P, 27422, 2002-021B, May 4 2002, 100.8, BRIGHTEST
ENVISAT, 27386, 2002-009A, March 1 2002, 100.1, BRIGHTEST
TITAN 4B R/B, 26474, 2000-047B, August 17 2000, 96.3, BRIGHTEST
SL-16 R/B, 25861, 1999-039B, July 17 1999, 97.4, BRIGHTEST
OKEAN O, 25860, 1999-039A, July 17 1999, 97.5, BRIGHTEST
CZ-4B R/B, 25732, 1999-025C, May 10 1999, 101.6, BRIGHTEST
SL-8 R/B, 25723, 1999-022C, April 28 1999, 92.1, BRIGHTEST
SPACE STATION, 25544, 1998-067A, November 20 1998, 92.7, BRIGHTEST
SPACE STATION, 25544, 1998-067A, November 20 1998, 92.7, BRIGHTEST
SPACE STATION, 25544, 1998-067A, November 20 1998, 92.7, BRIGHTEST
SPACE STATION, 25544, 1998-067A, November 20 1998, 92.7, BRIGHTEST
SPACE STATION, 25544, 1998-067A, November 20 1998, 92.7, BRIGHTEST
SPACE STATION, 25544, 1998-067A, November 20 1998, 92.7, BRIGHTEST
SL-16 R/B, 25407, 1998-045B, July 28 1998, 101.7, BRIGHTEST
SL-16 R/B, 25400, 1998-043G, July 10 1998, 101, BRIGHTEST
ORBVIEW 2 (SEASTAR), 24883, 1997-037A, August 1 1997, 100.5, BRIGHTEST
SL-16 R/B, 24298, 1996-051B, September 4 1996, 102, BRIGHTEST
SL-16 R/B, 23705, 1995-058B, October 31 1995, 101.8, BRIGHTEST
ARIANE 40+ R/B, 23561, 1995-021B, April 21 1995, 100.1, BRIGHTEST
ERS 2, 23560, 1995-021A, April 21 1995, 94.6, BRIGHTEST
SL-16 R/B, 23405, 1994-077B, November 24 1994, 101.8, BRIGHTEST
SL-16 R/B, 23343, 1994-074B, November 4 1994, 97.5, BRIGHTEST
SL-16 R/B, 23088, 1994-023B, April 23 1994, 101.8, BRIGHTEST
COSMOS 2278, 23087, 1994-023A, April 23 1994, 101.9, BRIGHTEST
ARIANE 40 R/B, 22830, 1993-061H, September 26 1993, 100.6, BRIGHTEST
SL-16 R/B, 22803, 1993-059B, September 16 1993, 101.6, BRIGHTEST
COSMOS 2242, 22626, 1993-024A, April 16 1993, 96.8, BRIGHTEST
SL-16 R/B, 22566, 1993-016B, March 26 1993, 101.8, BRIGHTEST
COSMOS 2228, 22286, 1992-094A, December 25 1992, 96.8, BRIGHTEST
SL-16 R/B, 22285, 1992-093B, December 25 1992, 101.8, BRIGHTEST
SL-16 R/B, 22220, 1992-076B, November 17 1992, 101.7, BRIGHTEST
SL-8 R/B, 21938, 1992-020B, April 15 1992, 104.7, BRIGHTEST
SL-8 R/B, 21876, 1992-008B, February 17 1992, 104.7, BRIGHTEST
SL-14 R/B, 21820, 1991-086B, December 18 1991, 120.7, BRIGHTEST
INTERCOSMOS 25, 21819, 1991-086A, December 18 1991, 119.5, BRIGHTEST
ARIANE 40 R/B, 21610, 1991-050F, July 17 1991, 99.9, BRIGHTEST
ERS 1, 21574, 1991-050A, July 17 1991, 100.2, BRIGHTEST
SL-14 R/B, 21423, 1991-042B, June 13 1991, 97.3, BRIGHTEST
COSMOS 2151, 21422, 1991-042A, June 13 1991, 96.5, BRIGHTEST
OKEAN 3, 21397, 1991-039A, June 4 1991, 96.5, BRIGHTEST
SL-8 R/B, 21088, 1991-006B, January 29 1991, 104.6, BRIGHTEST
SL-8 R/B, 20775, 1990-078B, August 28 1990, 100.5, BRIGHTEST
SL-6 R/B(2), 20666, 1990-055D, June 21 1990, 96.5, BRIGHTEST
COSMOS 2084, 20663, 1990-055A, June 21 1990, 96.5, BRIGHTEST
SL-16 R/B, 20625, 1990-046B, May 22 1990, 101.8, BRIGHTEST
HST, 20580, 1990-037B, April 24 1990, 95.4, BRIGHTEST
SL-14 R/B, 20511, 1990-018B, February 28 1990, 97.3, BRIGHTEST
SL-14 R/B, 20466, 1990-010B, January 30 1990, 97.2, BRIGHTEST
COSMOS 2058, 20465, 1990-010A, January 30 1990, 96.1, BRIGHTEST
DELTA 2 R/B(1), 20453, 1990-008B, January 24 1990, 97, BRIGHTEST
DELTA 1 R/B, 20323, 1989-089B, November 18 1989, 99.4, BRIGHTEST
SL-14 R/B, 20262, 1989-080C, September 28 1989, 115.3, BRIGHTEST
INTERCOSMOS 24, 20261, 1989-080A, September 28 1989, 114.6, BRIGHTEST
SL-16 R/B, 19650, 1988-102B, November 23 1988, 101.7, BRIGHTEST
SL-14 R/B, 19574, 1988-093B, October 11 1988, 97.1, BRIGHTEST
COSMOS 1975, 19573, 1988-093A, October 11 1988, 95.7, BRIGHTEST
SL-8 R/B, 19257, 1988-053B, June 21 1988, 100.2, BRIGHTEST
COSMOS 1953, 19210, 1988-050A, June 14 1988, 95.6, BRIGHTEST
SL-16 R/B, 19120, 1988-039B, May 15 1988, 101.5, BRIGHTEST
SL-3 R/B, 19046, 1988-032B, April 20 1988, 95.8, BRIGHTEST
COSMOS 1933, 18958, 1988-020A, March 15 1988, 95.8, BRIGHTEST
SL-14 R/B, 18749, 1988-001B, January 6 1988, 97.1, BRIGHTEST
COSMOS 1867, 18187, 1987-060A, July 10 1987, 100.6, BRIGHTEST
SL-14 R/B, 18153, 1987-055B, July 1 1987, 97.1, BRIGHTEST
COSMOS 1844, 17973, 1987-041A, May 13 1987, 101.8, BRIGHTEST
SL-14 R/B, 17912, 1987-038B, April 27 1987, 97.1, BRIGHTEST
SL-16 R/B, 17590, 1987-027B, March 18 1987, 101.6, BRIGHTEST
